SIDE,SCH,PLACE,Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
T,AOS AD5624R,P,R30,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AOS AD5624R,P,R31,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,Power,P,R40,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,Power,P,R41,1,R0603,1R,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R5,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,AD7329,NP,R53,1,R0603,0R,SM,,,,,SM RESISTOR 0603
B,AD7330,NP,R54,1,R0603,0R,SM,,,,,SM RESISTOR 0603
T,TMP05,P,R55,1,R0603,0R,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R6,1,R0603,1k,SM,,,,,SM RESISTOR 0603
B,A & D IOs,P,R7,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,A & D IOs,P,R8,1,R0603,1k,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R83,1,R0603,300,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R84,1,R0603,300,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R85,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
T,PIC,P,R86,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R87,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
T,PIC,P,R88,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R89,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
B,Power,P,R9,1,R0603,1,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R90,1,R0603,49.9,SM,,,,,SM RESISTOR 0603
T,MAGNETICS,P,R95,1,R0603,100K,SM,,,,,SM RESISTOR 0603
B,Crystals,NP,R99,1,R0603,1M,SM,,,,,SM RESISTOR 0603
T,PIC,P,S1,1,SPST-2-1437565-7,,SOP450P1000X444-4N,TE CONNECTIVITY,2-1437565-7,4791491,,"6x6mm SMD tactile switch,4.3mm H 1.6N Black Button Tactile Switch, SPST-NO 50 mA @ 12 V ac 0.7mm"
T,Power,P,U1,1,LM3671_DBV_5,,MF05A-L,,lm3671_dbv_5,537-9503,,"2MHz, 600mA Step-Down DC-DC Converter"
T,FT230X,P,U16,1,FT230XQ-R,,SM,,,757-0026,,UART TO RS232-422-485 3MBd 5 V 16-Pin QFN
T,PIC,P,U22,1,MCP100T,,SM,,,738-6382,,Voltage Supervisor Active-Low Push-Pull SOT23
B,USD,P,U222,1,SST25VF512A-33-4I-SAE,,MIC_150SOIC-8-L,,sst25vf512a-33-4i-sae,803-2294,,
T,FT230X,P,U24,1,FB0805,,SM,,MI0805K400R-10,888-3257,,FERRITE BEAD IPC 0805
B,AD7329,P,U3,1,AD7329BRUZ,,RU_24,,,709-6308,,"13-bit serial ADC Diff, Pseudo Diff, SE, 16-Pin TSSOP"
T,Crystals,P,U31,1,CM7V-T1A,,SM,,,729-3274,,Tuning Fork Crystal
T,USD,P,U4,1,CM1624-08DE,,SM,,,800-9960,,EMI Filter & ESD Protector
B,AOS AD5624R,P,U5,1,AD5624RBRMZ-3,,RM_10-L,,ad5624rbrmz-3,806-5373,,
B,AOS AD5624R,P,U6,1,AD8226ARMZ,,RM_8-L,,AD8226ARMZ,759-1288,,"AD8226ARMZ, IA 1.5MHz, 2.2 ? 36 V, 8-Pin MSOP"
T,Power,P,U7,1,ISA0312,,SM,,,,FN 2475737,DC/DC SMD 1.5kV 1W DUAL 12V 42mA
T,Power,P,U8,1,LMV358_DGK_8,,DGK8-L,,lmv358_dgk_8,,,
T,Power,P,U9,1,MC33269DT-5.0G,,SM,,,516-5966,,"LDO VReg 800mA 5 V ±1%, 3-Pin DPAK"
T,Crystal,P,XTAL5,1,501JCA25M0000DAF,,SM,,,811-4958,,Silicon Oscillator 25MHz
B,Power,P,ZD1,1,SM2T6V8A,,SM,,,795-8423,,"Uni-Directional TVS Diode, 6.8V, 200W, 2-Pin DO-216AA"
